user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed
,04/08/2025,8754,357,121,74,3148,2598
,05/08/2025,9184,443,127,73.8,3176,2608
,06/08/2025,6810,445,54,73.7,2701,2610
,07/08/2025,9321,473,128,74.2,3449,3007
,08/08/2025,14292,445,153,73.1,3174,2758
,09/08/2025,17114,504,124,73.7,3073,2780
,10/08/2025,21195,471,144,73.5,3080,2662
,11/08/2025,11426,496,143,73.5,3147,2788
,12/08/2025,11094,449,102,73.6,2977,3140
,13/08/2025,11648,447,117,74.5,3001,1948
,14/08/2025,9279,411,58,73.8,2735,2906
,15/08/2025,10102,430,50,74.2,2474,2717
,16/08/2025,13906,275,129,73.6,3064,2892
,17/08/2025,15097,495,93,73.6,2772,2800.654414
,18/08/2025,12528,418,135,73.2,2953,2779
,19/08/2025,11928,491,129,73,3142,2770
,20/08/2025,17466,446,110,73.2,2890,2815
,21/08/2025,18252,394,172,72.8,3074,2831
,22/08/2025,19287,441,171,73,3211,2855
,23/08/2025,18203,492,138,72.4,3442,3419
,24/08/2025,5044,552,8,73.3,2199,2893.368954
,25/08/2025,15079,325,143,73.6,3259,2798
,26/08/2025,11656,451,147,73.1,3312,2865
,27/08/2025,10309,450,135,73.3,2996,2879
,28/08/2025,17486,464,177,73,3176,2827
,29/08/2025,13642,454,146,72.7,3156,3062
,30/08/2025,17281,433,142,73.2,3361,2739
,31/08/2025,19401,422,143,73.5,2996,2405
,01/09/2025,6756,440,123,73.2,3068,2918
,02/09/2025,16002,474,164,72.7,3174,2934
,03/09/2025,15828,421,239,72.5,4471,4100
,04/09/2025,10036,460,69,72.5,2634,3297
,05/09/2025,12285,474,98,73,2789,2539
,06/09/2025,22253,436,216,72.5,3423,2956
,07/09/2025,20766,496,187,73,3211,2923
,08/09/2025,10229,462,181,72.5,4044,3646
,09/09/2025,13219,384,157,72.5,3114,2902
,10/09/2025,13239,440,154,72.5,3102,2782
,11/09/2025,15034,464,131,72.5,2964,2768
,12/09/2025,9965,436,154,72.5,3233,2799
,13/09/2025,20350,489,194,72.1,3366,2751
,14/09/2025,23982,451,158,72.1,3096,2724
,15/09/2025,11224,492,200,72.1,3840,3755
,16/09/2025,11053,417,162,72.1,3033,2769
,17/09/2025,8244,489,150,72.5,3030,3193
,18/09/2025,21783,453,141,73.2,3019,2639
,19/09/2025,13304,487,184,73.2,3157,2673
,20/09/2025,19895,486,167,72.1,3199,3718
,21/09/2025,22466,441,110,73,2987,2001
,22/09/2025,8056,430,108,72.3,2729,2201
,23/09/2025,8979,506,108,71.9,2769,2647
,24/09/2025,11747,452,84,71.9,2654,2976
,25/09/2025,12042,510,145,72.5,2955,2070
,26/09/2025,11792,440,129,71.6,2920,2618
,27/09/2025,18197,506,153,71.2,3126,3943
,28/09/2025,21159,457,118,72.7,3156,2077
,29/09/2025,10281,511,133,71.5,3113,2617
,30/09/2025,14574,441,197,71.5,3132,2507
,01/10/2025,8115,526,144,72,2972,2526
,02/10/2025,8616,454,79,71.6,2661,3055
,03/10/2025,13900,464,173,72.1,3156,2162
,04/10/2025,15453,510,160,71.2,3056,2622
,05/10/2025,15711,475,108,71.2,2903,2471
,06/10/2025,9604,451,127,71.2,3105,2441
,07/10/2025,12299,406,157,71.1,2948,2474
,08/10/2025,11996,456,177,71.1,3039,2520
,09/10/2025,15160,468,96,71.1,2680,2467
,10/10/2025,8752,478,135,70.7,2934,2693
,11/10/2025,15294,360,119,70.2,2844,2733
,12/10/2025,19709,420,117,71,2782,2726
,13/10/2025,9202,473,87,71,2782,2602
,14/10/2025,9833,503,130,70,2880,2941
,15/10/2025,9121,447,123,70,2860,2764
,16/10/2025,5183,423,67,70.7,2395,2789
,17/10/2025,12950,536,121,70.7,2904,2931
,18/10/2025,16397,459,78,70.1,2779,2982
,19/10/2025,13829,435,84,71.5,2643,3004
,20/10/2025,8169,398,88,71,2634,2951
,21/10/2025,15181,498,153,70.3,3037,2970
,22/10/2025,12382,492,142,70.7,2841,2950
,23/10/2025,15075,478,98,70.4,2695,2966
,24/10/2025,25671,451,205,70.8,3536,3206
,25/10/2025,15962,418,159,71.5,3062,3338
,26/10/2025,17806,471,123,72,2840,2530
,27/10/2025,7595,362,80,70.4,2796,3483
,28/10/2025,11674,502,130,71.3,2971,2855
,29/10/2025,11924,452,132,70.7,3120,3055
,30/10/2025,5895,407,75,70.5,2701,3160
,31/10/2025,9628,499,121,70.5,3088,3155
,01/11/2025,13896,423,99,70.6,2928,3270
,02/11/2025,19049,430,88,70.7,2789,3221
,03/11/2025,8044,386,132,70.9,3043,3218
,04/11/2025,6853,459,123,70.7,2933,3238
,05/11/2025,8535,436,128,70.4,2922,3531
,06/11/2025,8913,378,82,71.1,2743,3250
,07/11/2025,16773,496,128,70.8,3093,3545
,08/11/2025,13133,477,119,70.7,2906,3445
,09/11/2025,16892,525,90,70.8,2816,3495
,10/11/2025,7447,468,131,70.7,3091,3631
,11/11/2025,6674,464,112,70.8,2846,3569
,12/11/2025,10348,436,152,71,3174,3440
,13/11/2025,13082,418,95,71,2920,3444
,14/11/2025,12130,430,128,71.4,3175,3731
,15/11/2025,14016,449,89,71.6,3173,3862
,16/11/2025,14886,351,71,72.3,2743,2700
,17/11/2025,9259,512,93,70.8,2835,3510
,18/11/2025,8579,411,116,70.8,3041,3535
,19/11/2025,9961,390,147,70.8,3254,3625
,20/11/2025,7625,503,21,70.8,2413,4202
,21/11/2025,7705,329,53,72.4,2700,3542
,22/11/2025,14621,490,119,72.4,3054,2931
,23/11/2025,15907,314,60,71.8,2726,3060
,24/11/2025,8617,535,104,71.8,2952,3829
,25/11/2025,9187,397,137,71.8,3202,3220
,26/11/2025,11434,457,136,71.8,3258,3612
,27/11/2025,16349,450,101,71.4,2915,3623
,28/11/2025,9718,407,83,71.4,2857,3656
,29/11/2025,12485,421,85,71.7,2985,3330
,30/11/2025,12018,468,35,71.9,2578,3293
,01/12/2025,11433,461,84,71.5,2919,3745
,02/12/2025,9710,388,122,71.9,3018,3472
,03/12/2025,11879,471,129,71.9,3087,3450
,04/12/2025,10313,419,60,71.9,2700,3650
,05/12/2025,7688,373,123,72.3,3079,3415
,06/12/2025,10514,499,104,72,3060,3601
,07/12/2025,17053,367,87,72,3053,3414
,08/12/2025,8729,405,58,72,2735,3266
,09/12/2025,15424,321,141,71.8,3152,3680
,10/12/2025,12424,468,111,71.8,2922,3581
,11/12/2025,9308,408,83,71.8,2723,3540
,12/12/2025,7738,523,80,71.8,2770,3695
,13/12/2025,12895,463,84,72.6,3043,3492
,14/12/2025,10813,462,106,72.3,2030,3584
,15/12/2025,7677,424,108,72.3,2985,3721
,16/12/2025,13423,459,136,72.3,3051,3708
,17/12/2025,9417,492,80,72.3,2859,3422
,18/12/2025,17379,464,93,72.7,2817,3409
,19/12/2025,9349,413,109,72.7,2846,3528
,20/12/2025,8596,428,131,72.1,3232,3485
,21/12/2025,8388,430,15,72.9,2422,3442
,22/12/2025,9905,426,71,72.9,2864,3624
,23/12/2025,7789,0,22,72.54548142,2537,2604
,24/12/2025,13080,481,75,72.3,2713,2029
,25/12/2025,8123,354,15,72.3,2375,3207.744389
,26/12/2025,12199,381,37,73.1,2685,3217.273721
,27/12/2025,8082,293,10,72.25586192,2540,3226.803053
,28/12/2025,11464,280,35,72.05300911,2596,3236.332385
,29/12/2025,11831,422,39,71.4,2613,3245.861718
,30/12/2025,10600,309,57,71.80516626,2770,3255.39105
,31/12/2025,9296,428,1,71.76017623,2529,3264.920382
,01/01/2026,9724,379,47,71.7151862,2604,3274.449714
,02/01/2026,10303,295,8,71.67019617,2599,3283.979046
,03/01/2026,10858,415,71,71.62520614,2840,3293.508378
,04/01/2026,5244,425,72,71.4,2538,3356
,05/01/2026,7758,465,14,71.4,2163,3288
,06/01/2026,8099,573,53,71.4,2626,3147
,07/01/2026,5799,480,44,72,2527,3279
,08/01/2026,8492,516,87,72,2818,3415
